Seed ID,Group,Germinated,GerminationRate,SeedHeight,RootLength,GerminationTime,SurvivalRate
2,Automated,0.4,8.4,1,1,1,1
4,Automated,0.4,9.3,1,1,1,1
6,Automated,0.3,9.9,1,3,3,1
8,Automated,0.5,11.9,1,1,1,1
10,Automated,0.4,11.4,1,1,1,1
12,Automated,0.3,11.3,1,2,2,1
14,Automated,0.3,12.3,1,1,1,1
16,Automated,0.2,9.9,1,3,3,1
18,Automated,0.3,8.9,1,2,2,1
20,Automated,0.2,9.4,1,1,1,1
22,Automated,0.3,8.3,1,1,1,1
24,Automated,0.3,9.3,1,2,2,1
26,Automated,0.3,9.2,1,2,2,1
28,Automated,0.5,9.3,1,2,2,1
30,Automated,0.5,9.4,1,2,2,1
32,Automated,0.3,8.4,1,2,2,1
34,Automated,0.3,8.3,1,3,3,1
36,Automated,0.4,10.8,1,1,1,1
38,Automated,0.3,12.3,1,1,1,1
40,Automated,0.4,10.4,1,1,1,1
42,Automated,0.2,9.3,1,1,1,1
44,Automated,0.3,9.2,1,1,1,1
46,Automated,0.3,9.8,1,2,2,1
48,Automated,0.4,10.8,1,2,2,1
50,Automated,0.4,10.7,1,2,2,1
52,Automated,0.3,10.3,1,2,2,1
54,Automated,0.3,11.2,1,2,2,1
56,Automated,0.3,11.4,1,2,2,1
58,Automated,0.3,12.3,1,1,1,1
60,Automated,0.4,9.3,1,1,1,1
62,Automated,0.3,9.4,1,1,1,1
64,Automated,0.2,9.8,1,2,2,1
66,Automated,0.5,11.8,1,1,1,1
68,Automated,0.3,11.3,1,2,2,1
70,Automated,0.2,12.3,1,1,1,1
72,Automated,0.3,10.4,1,1,1,1
74,Automated,0.4,12.4,1,2,2,1
76,Automated,0.4,8.8,1,2,2,1
78,Automated,0.2,9.8,1,1,1,1
80,Automated,0.3,9.7,1,2,2,1
82,Automated,0.5,9.7,1,2,2,1
84,Automated,0.4,10.9,1,2,2,1
86,Automated,0.3,10.8,1,2,2,1
88,Automated,0.2,9.9,1,2,2,1
90,Automated,0.4,12.6,1,1,1,1
92,Automated,0.2,12.7,1,2,2,1
94,Automated,0.2,1.8,1,2,2,1
96,Automated,0.2,9.9,1,2,2,1
98,Automated,0.4,11.7,1,1,1,1
100,Automated,0.4,11.3,1,2,2,1
102,Automated,0.4,10.2,1,2,2,1
104,Automated,0.2,9.9,1,2,2,1
106,Automated,0.4,8.9,1,2,2,1
108,Automated,0.4,10.9,1,2,2,1
110,Automated,0.4,9.7,1,2,2,1
112,Automated,0.4,12.8,1,1,1,1
114,Automated,0.4,11.7,1,2,2,1
116,Automated,0.4,9.7,1,2,2,1
118,Automated,0.3,9.6,1,2,2,1
120,Automated,0.3,8.7,1,1,1,1
122,Automated,0.5,8.9,1,2,2,1
124,Automated,0.3,9.9,1,1,1,1
126,Automated,0.3,10.9,1,1,1,1
128,Automated,0.2,10.9,1,2,2,1
130,Automated,0.2,11.2,1,1,1,1
132,Automated,0.3,12.5,1,2,2,1
134,Automated,0.4,11.2,1,2,2,1
136,Automated,0.3,10.2,1,1,1,1
138,Automated,0.4,10.8,1,1,1,1
140,Automated,0.3,9.2,1,2,2,1
142,Automated,0.3,9.7,1,1,1,1
144,Automated,0.4,8.8,1,2,2,1
146,Automated,0.3,8.9,1,1,1,1
148,Automated,0.3,9.3,1,3,3,1
150,Automated,0.4,9.9,1,3,3,1
152,Automated,0.4,9.8,1,2,2,1
154,Automated,0.2,10.3,1,2,2,1
156,Automated,0.2,12.3,1,2,2,1
158,Automated,0.3,11.9,1,2,2,1
160,Automated,0.3,10.5,1,1,1,1
162,Automated,0.3,11.2,1,1,1,1
164,Automated,0.3,10.5,1,2,2,1
166,Automated,0.3,10.7,1,2,2,1
168,Automated,0.3,10.6,1,1,1,1
170,Automated,0.4,9.7,1,2,2,1
172,Automated,0.5,9.6,1,2,2,1
174,Automated,0.3,11.4,1,2,2,1
176,Automated,0.3,11.8,1,1,1,1
178,Automated,0.3,10.8,1,2,2,1
180,Automated,0.2,10.8,1,2,2,1
182,Automated,0.4,9.9,1,1,1,1
184,Automated,0.5,10.9,1,2,2,1
186,Automated,0.3,10.7,1,1,1,1
188,Automated,0.4,10.7,1,1,1,1
190,Automated,0.4,9.2,1,2,2,1
192,Automated,0.3,11.2,1,2,2,1
194,Automated,0.5,10.9,1,2,2,1
196,Automated,0.5,10.8,1,2,2,1
198,Automated,0.4,12.7,1,2,2,1
200,Automated,0.3,11.2,1,1,1,1
202,Automated,0.3,12.3,1,2,2,1
204,Automated,0.3,10.5,1,2,2,1
206,Automated,0.5,9.9,1,1,1,1
208,Automated,0.5,11.9,1,2,2,1
210,Automated,0.3,11.1,1,2,2,1
212,Automated,0.2,12.3,1,1,1,1
214,Automated,0.3,10.8,1,2,2,1
216,Automated,0.4,9.7,1,1,1,1
218,Automated,0.5,12.5,1,1,1,1
220,Automated,0.3,11.5,1,2,2,1
222,Automated,0.3,12.3,1,2,2,1
224,Automated,0.3,10.3,1,2,2,1
226,Automated,0.4,9.9,1,2,2,1
228,Automated,0.3,10.9,1,2,2,1
230,Automated,0.3,9.5,1,1,1,1
232,Automated,0.3,9.4,1,2,2,1
234,Automated,0.3,12.3,1,2,2,1
236,Automated,0.3,11.9,1,1,1,1
238,Automated,0.4,11.2,1,2,2,1
240,Automated,0.4,10.4,1,2,2,1
242,Automated,0.3,10.2,1,2,2,1
244,Automated,0.3,12.1,1,2,2,1
246,Automated,0.4,8.5,1,2,2,1
248,Automated,0.3,9.9,1,1,1,1
250,Automated,0.4,10.7,1,1,1,1
